county,x,y
Alba,-152.0,35.0
Arad,-326.0,53.0
Arges,-27.0,-130.0
Bacau,148.0,65.0
Bihor,-288.0,148.0
Bistrita-Nasaud,-69.0,196.0
Botosani,134.0,279.0
Brasov,11.0,-26.0
Braila,239.0,-122.0
Bucuresti,107.0,-215.0
Buzau,145.0,-90.0
Caras-Severin,-299.0,-112.0
Calarasi,174.0,-231.0
Cluj,-159.0,113.0
Constanta,310.0,-240.0
Covasna,79.0,-4.0
Dambovita,43.0,-162.0
Dolj,-140.0,-256.0
Galati,255.0,-26.0
Giurgiu,90.0,-264.0
Gorj,-169.0,-134.0
Harghita,45.0,79.0
Hunedoara,-210.0,-32.0
Ialomita,205.0,-183.0
Iasi,204.0,181.0
Ilfov,110.0,-189.0
Maramures,-113.0,249.0
Mehedinti,-208.0,-189.0
Mures,-47.0,95.0
Neamt,114.0,146.0
Olt,-60.0,-230.0
Prahova,90.0,-119.0
Satu Mare,-214.0,239.0
Salaj,-191.0,177.0
Sibiu,-80.0,-13.0
Suceava,54.0,234.0
Teleorman,13.0,-272.0
Timis,-357.0,-26.0
Tulcea,342.0,-122.0
Vaslui,257.0,78.0
Valcea,-91.0,-111.0
Vrancea,177.0,-21.0
